127,Species,Gender,Colour,Different legs?,Leg colour,Missing track,Organic,Name tag,Flippy shirt
76,Cat,F,Periwinkle,N,,Drop,None,None,N
111,Mouse,M,Royal blue,N,,Drop,None,Spooky,N
75,Duck,M,Blue,N,,Drop,Throw,Spooky,N
116,Duck,M,Aqua,N,,Drop,Trap,None,N
105,Pig,F,Crimson,N,,Trap,None,Poetic,N
105,Mouse,F,Pink,N,,Trap,None,Wonky,N
101,Bear,M,Toonfest blue,N,,Trap,Lure,Toonfest,N
124,Bear,F,Toonfest pink,N,,Drop,Trap,Practical,N
106,Cat,F,Black,N,,Trap,Lure,Poetic,N
83,Bear,M,Blue,N,,Trap,None,None,N
106,Duck,F,Lime green,N,,Lure,None,Nautical,N
107,Cat,F,Emerald,N,,Drop,Throw,Nautical,N
65,Dog,M,Light blue,N,,Trap,None,Shivering ,N
117,Cat,F,Beige,N,,Drop,Throw,Wonky,N
63,Deer,F,Peach,N,,Trap,None,None,N
126,Bear,M,Brown,N,,Drop,None,Practical,N
104,Mouse,M,Bubblegum,Y,Sea green,Drop,Lure,Poetic,N
105,Cat,F,Ice blue,N,,Drop,Lure,Boardwalk,N
76,Bear,M,Bright red,N,,Drop,None,None,N
94,Crocodile,M,Blue,N,,Trap,Drop,None,N
104,Deer,F,Peach,N,,Drop,Trap,Poetic,N
132,Dog,M,Toonfest blue,N,,Toon-up,None,Fancy,Y
101,Monkey,M,Crimson,Y,Beige,Drop,Lure,None,N
128,Mouse,M,Ice blue,Y,Steel blue,Trap,Throw,Wonky,Y
75,Deer,F,Steel blue,N,,Sound,None,None,N
106,Horse,F,Toonfest pink,N,,Drop,Throw,None,N
94,Monkey,M,Blue,N,,Drop,None,Poetic,N
77,Cat,M,Steel blue,N,,Trap,Throw,None,N
124,Dog,F,Mint green,Y,Crimson,Trap,Sound,Fancy,N
81,Rabbit,F,Peach,N,,Sound,Throw,Toonfest,N
109,Cat,F,Light blue,Y,Royal blue,Lure,Sound,Poetic,Y
127,Cat,M,Emerald,Y,Lavender,Trap,None,Whimsical,N
72,Crocodile,F,Lavender,Y,Emerald,Drop,None,None,N
107,Cat,F,Tan,N,,Trap,Lure,Western,N
106,Horse,F,Spooky purple,N,,Trap,Throw,Poetic,N
110,Mouse,M,Apricot,N,,Trap,Throw,Spooky ,N
107,Cat,M,Blue,N,,Drop,Lure,None,N
100,Deer,F,Sea green,N,,Drop,None,None,N
135,Cat,F,Black,N,,Trap,Sound,Poetic,Y
137,Cat,M,Black,N,,Lure,Sound,Fancy,Y
137,Cat,F,Black,N,,Trap,Sound,Fancy,Y
137,Rabbit,M,Spooky purple,N,,Trap,Sound,Poetic,N
137,Cat,M,Aqua,Y,Pink,Toon-up,Sound,Wonky,N
120,Mouse,F,Cream,N,,Drop,None,Practical,N
70,Mouse,M,Royal blue,N,,Toon-up,None,None,N
132,Cat,F,Green,N,,Trap,Sound,Nautical,N
137,Cat,M,Royal blue,Y,Emerald,Toon-up,Sound,Fancy,N
76,Dog,M,Ice blue,Y,Royal blue,Toon-up,Sound,Shivering,Y
137,Cat,M,Royal blue,N,,Toon-up,Sound,Fancy,N
137,Cat,M,Ice blue,N,,Toon-up,Throw,Fancy,N
105,Mouse,M,Mint green,Y,Brown,Drop,Throw,Shivering,N
105,Mouse,F,Emerald,N,,Trap,None,Wonky,N
137,Cat,M,Periwinkle,N,Purple,Drop,Sound,Whimsical,N
115,Cat,F,Peach,Y,Ice blue,Trap,Sound,Poetic,N
116,Cat,F,Spooky purple,N,,Trap,None,Poetic,N
107,Cat,M,Black,N,,Trap,Throw,Silly,N
114,Pig,F,Bubblegum,Y,Crimson,Drop,Trap,Poetic,N
110,Cat,F,Bright red,N,,Lure,Throw,None,N
102,Deer,M,Beige,N,,Trap,None,Spooky,N
131,Cat,F,Emerald,N,,Trap,Sound,Poetic,Y
121,Rabbit,F,Dark green,N,,Drop,Throw,Practical,N
106,Horse,F,Green,N,,Trap,None,Wonky,N
112,Duck,M,Sea green,Y,Bright red,Toon-up,Throw,Toonfest,Y
110,Cat,F,Bright red,Y,Royal blue,Trap,Throw,Shivering,Y
130,Cat,F,Slate blue,N,,Trap,Throw,Silly,Y
113,Cat,F,Bright red,Y,Sea green,Lure,Throw,Boardwalk,N
105,Monkey,M,Brown,N,,Drop,None,Poetic,N
127,Dog,F,Brown,N,,Trap,Throw,Wonky,Y
111,Mouse,F,Crimson,N,,Toon-up,Throw,Wonky,Y
80,Horse,M,Pink,Y,Purple,Toon-up,Sound,Member,Y
128,Cat,M,Black,N,,Trap,Throw,Whimsical,N
63,Dog,M,Orange,N,,Toon-up,None,Shivering,Y
79,Deer,M,Citrine,Y,Yellow,Drop,Lure,None,N
108,Rabbit,M,Bright red,N,,Drop,None,Toonfest,N
113,Cat,F,Spooky purple,N,,Trap,None,Spooky,N
75,Dog,F,Aqua,N,,Drop,None,None,N
76,Deer,F,Lavender,N,,Trap,Toon-up,Shivering,N
108,Cat,M,Bright red,N,,Trap,None,Practical,N
97,Cat,F,Periwinkle,N,,Trap,None,None,N
133,Cat,M,Sea green,N,,Drop,None,Poetic,N
128,Cat,F,Dark green,Y,Sienna,Trap,Sound,Silly,N
70,Dog,M,Slate blue,N,,Drop,None,Wonky,N
107,Cat,M,Emerald,Y,Teal,Toon-up,None,Poetic,N
115,Cat,M,Teal,N,,Drop,Sound,Poetic,N
110,Crocodile,M,Dark green,N,,Drop,Trap,Wonky,N
119,Dog,M,Spooky purple,N,,Drop,Trap,Toonfest,N
114,Cat,M,Brown,Y,Tan,Trap,None,Shivering,Y
105,Mouse,M,Yellow,N,,Trap,Throw,Poetic,N
105,Deer,F,Maroon,N,,Drop,Throw,Toonfest,N
108,Bear,M,Steel blue,N,,Trap,None,None,N
112,Cat,F,Black,N,,Trap,None,None,N
104,Rabbit,F,Mint green,N,,Trap,Drop,Member,N
126,Cat,F,Periwinkle,N,,Trap,Throw,Poetic,N
111,Monkey,F,Green,Y,Brown,Drop,Sound,Poetic,Y
132,Monkey,M,Green,Y,Brown,Trap,Sound,Poetic,Y
130,Dog,M,Lime green,Y,Green,Drop,Trap,Fancy,N
103,Deer,M,Bright red,N,,Trap,None,Poetic,N
116,Dog,M,Blue,N,,Drop,None,Member,N
118,Cat,F,Dark green,N,,Drop,Toon-up,Wonky,N
116,Cat,F,Light blue,N,,Trap,None,Poetic,N
106,Cat,F,Emerald,N,,Lure,None,None,N
122,Cat,M,Crimson,N,,Lure,Drop,Silly,Y
137,Cat,F,Rose pink,Y,Emerald,Toon-up,Sound,Wonky,N
108,Cat,F,Red,N,,Drop,Toon-up,Wonky,N
76,Mouse,M,Brown,N,,Trap,None,Member,N
72,Duck,F,Mint green,N,,Drop,Lure,None,N
63,Cat,F,Coral,N,,Drop,Lure,Boardwalk,N
77,Cat,F,Periwinkle,N,,Trap,None,Shivering,N
95,Cat,M,Bright red,N,,Lure,None,None,N
127,Crocodile,M,Steel blue,N,,Trap,None,Poetic,N
80,Cat,F,Black,N,,Toon-up,Trap,Spooky,Y
135,Horse,M,Yellow,Y,Royal blue,Trap,Throw,Shivering,N
108,Duck,M,Blue,N,,Drop,Throw,Whimsical,N
132,Cat,F,Ice blue,N,,Trap,Throw,Whimsical,N
74,Rabbit,F,Citrine,N,,Trap,None,Shivering,N
80,Bear,F,Amber,N,,Trap,Throw,None,N
114,Bear,M,Light blue,Y,Royal blue,Drop,Sound,Practical,N
120,Cat,F,Pink,Y,Emerald,Trap,None,Whimsical,N
96,Cat,F,Yellow,N,,Trap,None,Shivering,N
126,Cat,M,Steel blue,N,,Lure,Sound,Whimsical,N
106,Cat,M,Black,N,,Trap,None,Poetic,N
82,Rabbit,F,Purple,N,,Trap,None,None,N
80,Cat,F,Mint green,N,,Trap,Lure,None,N
114,Duck,M,Blue,N,,Toon-up,Sound,Shivering,N
94,Deer,F,Periwinkle,N,,Lure,None,Poetic,N
130,Duck,F,Amber,N,,Trap,Throw,Shivering,N
114,Cat,M,Periwinkle,N,,Trap,Throw,Silly,N
103,Deer,M,Crimson,N,,Trap,Lure,Nautical,N
105,Deer,M,Steel blue,N,,Trap,None,Shivering,N
97,Rabbit,F,Toonfest pink,N,,Trap,Throw,Poetic,N
117,Dog,F,Purple,N,,Trap,None,Silly,N
107,Deer,F,Cream,N,,Trap,Drop,Spooky,N
121,Cat,F,Red,N,Periwinkle,Trap,Throw,Whimsical,N
134,Dog,M,Toonfest pink,N,,Drop,None,Toonfest,Y
108,Duck,F,Tan,N,,Trap,None,Member,N
137,Dog,M,Aqua,N,,Toon-up,None,Action,N
98,Monkey,F,Spooky purple,N,,Trap,Lure,Boardwalk,N
100,Dog,F,Aqua,Y,Slate blue,Drop,Throw,None,N
64,Cat,F,Apricot,N,,Drop,Lure,None,N
113,Cat,M,Black,N,,Drop,None,Poetic,N
135,Duck,F,Yellow,N,,Sound,Trap,Poetic,N
84,Cat,F,Pink,N,,Drop,Throw,Wonky,N
120,Bear,M,Brown,N,,Trap,Throw,Spooky,N
66,Mouse,F,Rose pink,N,,Toon-up,None,None,N
90,Horse,M,Green,N,,Toon-up,None,Wonky,N
129,Cat,F,Ice blue,Y,Teal,Drop,Sound,Wonky,Y
101,Duck,F,Teal,N,,Trap,None,Poetic,N
105,Cat,F,Black,N,,Lure,None,Spooky,N
73,Dog,M,Sea green,Y,Blue,Drop,None,Spooky,Y
100,Dog,F,Tan,N,,Trap,Throw,None,N
127,Mouse,M,Cream,Y,Purple,Drop,Throw,Practical,Y
73,Horse,M,Royal blue,N,,Drop,Sound,None,N
124,Mouse,F,Maroon,N,,Drop,Throw,Toonfest,N
122,Rabbit,M,Royal blue,N,,Drop,Throw,Silly,N
128,Pig,F,Royal blue,N,,Drop,Throw,Wonky,N
105,Dog,F,Brown,N,,Trap,Throw,Fancy,Y
120,Dog,F,Toonfest blue,N,,Trap,Sound,Poetic,N
109,Dog,F,Cream,N,,Trap,Drop,Poetic,N
105,Deer,M,Steel blue,N,,Trap,Lure,Boardwalk,N
128,Dog,F,Aqua,N,,Toon-up,Trap,Silly,N
122,Monkey,M,Teal,N,,Drop,Throw,Boardwalk,N
136,Cat,F,Blue,Y,Emerald,Trap,Throw,Spooky,N
103,Cat,F,Black,N,,Trap,Throw,None,N
68,Dog,F,Steel blue,N,,Trap,Throw,Shivering,N
103,Cat,M,Black,N,,Trap,Sound,None,N
96,Cat,M,Dark green,N,,Drop,Lure,Poetic,N
76,Rabbit,F,Peach,N,,Lure,None,None,N
108,Dog,F,Pink,N,,Trap,None,Boardwalk,N
78,Bear,M,Purple,N,,Trap,None,None,N
130,Dog,F,Purple,N,,Trap,Toon-up,Poetic,N
114,Rabbit,M,Bright red,Y,Royal blue,Trap,Throw,Boardwalk,N
70,Duck,M,Amber,N,,Trap,None,Boardwalk,N
104,Deer,M,Blue,N,,Drop,None,None,N
110,Dog,M,Coral,N,,Drop,None,None,N
65,Pig,F,Tan,N,,Drop,None,None,N
92,Dog,M,Aqua,N,,Drop,None,Nautical,N
118,Horse,F,Maroon,N,,Drop,None,Silly,N
107,Rabbit,M,Ice blue,N,,Drop,None,Poetic,N
93,Cat,F,Beige,N,,Drop,Throw,Whimsical,N
66,Mouse,F,Crimson,N,,Drop,None,Silly,N
78,Dog,F,Pink,Y,Lavender,Trap,Sound,None,N
